Model,Selected_Feature
SVM,Age
SVM,RestingBP
SVM,Cholesterol
SVM,MaxHR
SVM,Oldpeak
SVM,Sex_F
SVM,Sex_M
SVM,ChestPainType_ASY
SVM,ChestPainType_ATA
SVM,ChestPainType_NAP
SVM,ChestPainType_TA
SVM,FastingBS_0
SVM,FastingBS_1
SVM,RestingECG_LVH
SVM,RestingECG_Normal
SVM,RestingECG_ST
SVM,ExerciseAngina_N
SVM,ExerciseAngina_Y
SVM,ST_Slope_Down
SVM,ST_Slope_Flat
SVM,ST_Slope_Up
