Model,Accuracy_Gap,Precision_Gap,Recall_Gap,Specificity_Gap,F1_Gap,ROC_AUC_Gap
ANN,0.19547048569025038,0.1648654347564621,0.18890584393023402,0.20324886773555972,0.17871702331102224,0.12370620693251999
SVM,0.042206700420711174,0.04188316711647777,0.025786533249948174,0.06236155373182617,0.03513758768652786,0.043494511548297865
Random Forest,0.13894324853228956,0.1403240572858646,0.10093345377898222,0.18592074592074592,0.12245749439350251,0.07082145195966338
XGBoost,0.10386872118336954,0.0838108126094721,0.1033467213304613,0.10439966287642832,0.09428022318393281,0.06634944429661704
