Feature,Chi_Square_Score,P_Value,Degrees_of_Freedom,Significant_at_0.05
ST_Slope,309.1752732881688,7.302010195623607e-68,2,True
ChestPainType,214.3393593144172,3.3597172623040124e-46,3,True
ExerciseAngina,174.8591179891406,6.4264592473083065e-40,1,True
Sex,56.26323173628494,6.338980563494288e-14,1,True
FastingBS,48.907226975426056,2.683601160817013e-12,1,True
RestingECG,9.768953476999432,0.007563080195516482,2,True
