Model,Train_Accuracy,CV_Accuracy,Train_Precision,CV_Precision,Train_Recall,CV_Recall,Train_Specificity,CV_Specificity,Train_F1,CV_F1,Train_ROC_AUC,CV_ROC_AUC
ANN,0.9993191484430228,0.8038486627527724,0.9993865030674847,0.8345210683110226,0.9993846153846153,0.8104787714543813,0.9992395437262358,0.7959906759906761,0.9993846139280803,0.8206675906170581,0.9999976601345424,0.8762914532020224
SVM,0.8964607307999861,0.8542540303792749,0.8919514098130229,0.8500682426965451,0.924883190883191,0.8990966576332429,0.8612892926595652,0.798927738927739,0.9080964089572154,0.8729588212706876,0.9613895764352327,0.9178950648869348
Random Forest,1.0,0.8610567514677104,1.0,0.8596759427141354,1.0,0.8990665462210178,1.0,0.8140792540792541,1.0,0.8775425056064975,1.0,0.9291785480403366
XGBoost,0.9608345212020071,0.8569658000186375,0.9569911877898474,0.8731803751803753,0.9729040835707503,0.869557362240289,0.9458915043682697,0.8414918414918414,0.9648700558637511,0.8705898326798183,0.9932656636789611,0.926916219382344
