Model,Train_ROC_AUC,CV_ROC_AUC,ROC_AUC_Gap
ANN,0.9279773497671892,0.9214444212818196,0.006532928485369571
SVM,0.9615471291401594,0.9197039676172467,0.041843161522912675
Random Forest,0.9758718772610356,0.9332666390118964,0.0426052382491392
XGBoost,0.9711542422230993,0.9329221827053805,0.0382320595177188
