Model,Accuracy,Accuracy_STD,Precision,Precision_STD,Recall,Recall_STD,Specificity,Specificity_STD,F1,F1_STD,ROC_AUC,ROC_AUC_STD
ANN,0.8038486627527724,0.023862348920639966,0.8345210683110226,0.043094050722749015,0.8104787714543813,0.03703855481696041,0.7959906759906761,0.0740327808210484,0.8206675906170581,0.01798301006218752,0.8762914532020224,0.028185493264114125
SVM,0.8542540303792749,0.037799361655293566,0.8500682426965451,0.04971629382141735,0.8990966576332429,0.02070483126014235,0.798927738927739,0.0828913868230201,0.8729588212706876,0.028487194587111683,0.9178950648869348,0.031929634512616316
Random Forest,0.8610567514677104,0.03141360468467986,0.8596759427141354,0.04291084008250885,0.8990665462210178,0.04218281074827585,0.8140792540792541,0.0712223410274687,0.8775425056064975,0.026133963437160405,0.9291785480403366,0.0256363873462618
XGBoost,0.8569658000186375,0.01760656731386608,0.8731803751803753,0.030029133372723466,0.869557362240289,0.029247715513580165,0.8414918414918414,0.04647553359470213,0.8705898326798183,0.01493278810517634,0.926916219382344,0.022322357227430895
