Model,Accuracy,Accuracy_STD,Precision,Precision_STD,Recall,Recall_STD,Specificity,Specificity_STD,F1,F1_STD,ROC_AUC,ROC_AUC_STD,Train_ROC_AUC
ANN,0.8365389991613084,0.030293661554692465,0.8522855245046257,0.040165960098690466,0.854712436013249,0.014010707767698706,0.8141258741258742,0.06063789732205351,0.8530578359468521,0.023921341899999334,0.9214444212818196,0.029721310511772504,0.9279773497671892
SVM,0.8597148448420464,0.030453312086259128,0.8744976958794229,0.050418142738961155,0.8769346582354712,0.03174971065082884,0.8385547785547786,0.08085824753233434,0.8741886459376798,0.023004135729339452,0.9197039676172467,0.027718095168342578,0.9615471291401594
Random Forest,0.8515143043518778,0.03136959768862929,0.8623553309719176,0.04434418063960904,0.8744655224330021,0.034004358005877484,0.8231701631701632,0.069493211993853,0.8672462910984995,0.02557445632013184,0.9332666390118964,0.023736975596338087,0.9758718772610356
XGBoost,0.8569658000186375,0.01707279727797646,0.8718875508150358,0.03510715546300101,0.8719060523938573,0.02297056734273251,0.8384615384615385,0.05372239787043369,0.8710432533691431,0.01271993635788051,0.9329221827053805,0.028869571242672976,0.9711542422230993
